date,day,beta,sigma,gamma
2020-12-08,282,0.0748487581171638,0.2,0.11800409900677912
2020-12-09,283,0.10767339834355304,0.2,0.08787260106165783
2020-12-10,284,0.08964648507378736,0.2,0.10350395607944453
2020-12-11,285,0.08531237431913506,0.2,0.11310503786631544
2020-12-12,286,0.04904176956805942,0.2,0.12927268054484709
2020-12-13,287,0.07102580147629288,0.2,0.07822448608331817
2020-12-14,288,0.06271816002451679,0.2,0.18347786398904609
2020-12-15,289,0.06104434078805642,0.2,0.0013156563100900718
2020-12-16,290,0.06862187934856698,0.2,0.16974726518294983
2020-12-17,291,0.08126567019776439,0.2,0.10908141962421712
2020-12-18,292,0.07570157896920925,0.2,0.12740152409573896
2020-12-19,293,0.05021005542763437,0.2,0.1253393665158371
2020-12-20,294,0.0878322980765489,0.2,0.13052884615384616
2020-12-21,295,0.08418572486550083,0.2,0.12148946840521564
2020-12-22,296,0.08742647742730089,0.2,0.12381938155000646
2020-12-23,297,0.08108495326066108,0.2,0.09900199600798404
2020-12-24,298,0.09586044206142302,0.2,0.1218851570964247
2020-12-25,299,0.06310641203084089,0.2,0.1188663282571912
2020-12-26,300,0.05922884181069,0.2,0.10920136316491331
2020-12-27,301,0.07847140092819409,0.2,0.11165870937933159
2020-12-28,302,0.10474253463201257,0.2,0.11498366267309787
2020-12-29,303,0.07796151589876868,0.2,0.09490306441525953
2020-12-30,304,0.09702471902771086,0.2,0.07238095238095238
2020-12-31,305,0.08283556301440205,0.2,0.11853245531514581
2021-01-01,306,0.05465629931935944,0.2,0.125
2021-01-02,307,0.04109717450924257,0.2,0.11293994046576782
2021-01-03,308,0.06513798847094253,0.2,0.1095316201931839
2021-01-04,309,0.08177214825884996,0.2,0.11079599168084704
2021-01-05,310,0.08134609821852135,0.2,0.09588516746411484
2021-01-06,311,0.08410277520985954,0.2,0.09487629066822521
2021-01-07,312,0.11300337839979215,0.2,0.11684460260972716
2021-01-08,313,0.08421300069407685,0.2,0.13981278629755028
2021-01-09,314,0.04070278584115791,0.2,0.11066011535996582
2021-01-10,315,0.10913285465358218,0.2,0.12143826322930801
2021-01-11,316,0.09992644600196482,0.2,0.09032700663160302
2021-01-12,317,0.0708823090976656,0.2,0.09505444646098003
2021-01-13,318,0.09964723516447692,0.2,0.09269282814614344
2021-01-14,319,0.09485782621323058,0.2,0.08924536827835518
2021-01-15,320,0.03735673653335219,0.2,0.11229946524064172
2021-01-16,321,0.048149549626504626,0.2,0.09980285855101036
2021-01-17,322,0.051969533557319175,0.2,0.09696351109977035
2021-01-18,323,0.06409563119602939,0.2,0.11525511525511525
2021-01-19,324,0.09041717855581803,0.2,0.10334750265674814
2021-01-20,325,0.10789855285969437,0.2,0.062279989168697536
2021-01-21,326,0.0940495683917182,0.2,0.1281916293761516
2021-01-22,327,0.0656865648988248,0.2,0.10902047592695074
2021-01-23,328,0.0670154129757729,0.2,0.11877172653534183
2021-01-24,329,0.09526504557023609,0.2,0.12409420289855072
2021-01-25,330,0.08186916948754255,0.2,0.08981481481481482
2021-01-26,331,0.08386473913028654,0.2,0.07656826568265683
2021-01-27,332,0.0818305578328114,0.2,0.09007912355447352
2021-01-28,333,0.05313157457096981,0.2,0.10552606931002186
2021-01-29,334,0.009686300874397032,0.2,0.11647915287888816
2021-01-30,335,0.005448271849653044,0.2,0.1043540842029507
2021-01-31,336,0.019222709990188453,0.2,0.1017733230531997
2021-02-01,337,0.043230706888611393,0.2,0.10445962233828847
2021-02-02,338,0.0526569486128646,0.2,0.08625
2021-02-03,339,0.08611269620742937,0.2,0.0980728051391863
2021-02-04,340,0.06631868005212424,0.2,0.12033377250768555
2021-02-05,341,0.042904840698523884,0.2,0.11764705882352941
2021-02-06,342,0.04410722234329482,0.2,0.13425216947422156
2021-02-07,343,0.06406901104600338,0.2,0.11074380165289256
2021-02-08,344,0.06586730707660254,0.2,0.09575688073394495
2021-02-09,345,0.08810000170306442,0.2,0.06793321819228555
2021-02-10,346,0.0635719755101498,0.2,0.06617227609811752
