date,day,confirmed,recovered,deaths,removed,infected,susceptible,new_confirmed,new_removed,exposed,model_susceptible,model_exposed,model_infected,model_removed,model_confirmed,beta,sigma,gamma
2020-07-29,150,19273.0,14021.0,49.0,14070.0,5203.0,29117535.0,210.0,146.0,899.0,29117503.05888701,892.2956492626237,5164.317587797977,14070.327875931738,19234.645463729714,0.06631332391823962,0.2,0.0442052661925812
2020-07-30,151,19547.0,14248.0,52.0,14300.0,5247.0,29117261.0,274.0,230.0,1064.0,29117191.500760134,1047.3302650846942,5169.035299661435,14299.133675120056,19468.16897478149,0.05851076062123884,0.2,0.02954068991804841
2020-07-31,152,19771.0,14399.0,56.0,14455.0,5316.0,29117037.0,224.0,155.0,1158.0,29116952.35398361,1150.926102089843,5312.786452443197,14455.933461857894,19768.71991430109,0.07672625429751212,0.2,0.017494356659142212
2020-08-01,153,20086.0,14492.0,56.0,14548.0,5538.0,29116722.0,315.0,93.0,1334.0,29116623.68811212,1322.8692741479363,5470.138692269629,14549.303921462575,20019.442613732204,0.036464285039205735,0.2,0.020223907547851208
2020-08-02,154,20332.0,14603.0,57.0,14660.0,5672.0,29116476.0,246.0,112.0,1269.0,29116517.472137574,1277.6425145079277,5685.370972068686,14661.514375848892,20346.885347917578,0.08147434315618099,0.2,0.06311706629055007
2020-08-03,155,20750.0,14961.0,57.0,15018.0,5732.0,29116058.0,418.0,358.0,1477.0,29116017.836018145,1454.117507767389,5589.8624203749405,15015.184053713361,20605.046474088304,0.048953215511092434,0.2,0.011514305652477321
2020-08-04,156,21009.0,15026.0,58.0,15084.0,5925.0,29115799.0,259.0,66.0,1462.0,29115772.030534916,1468.621493718427,5959.0367110836705,15085.311260283572,21044.347971367242,0.07590283075339391,0.2,0.022278481012658228
2020-08-05,157,21390.0,15156.0,60.0,15216.0,6174.0,29115418.0,381.0,132.0,1619.0,29115343.182906188,1610.308805458946,6098.622379664946,15217.885908687105,21316.50828835205,0.05977825452815533,0.2,0.03854875283446712
2020-08-06,158,21750.0,15389.0,65.0,15454.0,6296.0,29115058.0,360.0,238.0,1664.0,29115046.585568726,1662.234448856028,6262.491266394394,15455.68871602447,21718.179982418864,0.08754947069498362,0.2,0.06829733163913596
2020-08-07,159,22214.0,15814.0,70.0,15884.0,6330.0,29114594.0,464.0,430.0,1882.0,29114510.77485883,1858.238784793347,6221.773171831759,15881.21318454689,22102.98635637865,0.053184307767977224,0.2,0.07930489731437598
2020-08-08,160,22592.0,16313.0,73.0,16386.0,6206.0,29114216.0,378.0,502.0,1842.0,29114260.92172609,1842.6355639352375,6205.396782669581,16381.04592730701,22586.44270997659,0.07892036155055614,0.2,0.00676764421527554
2020-08-09,161,22972.0,16353.0,75.0,16428.0,6544.0,29113836.0,380.0,42.0,1963.0,29113713.44497145,1963.992093075758,6543.433606960946,16429.12932851348,22972.562935474427,0.05346513579007674,0.2,0.022004889975550123
2020-08-10,162,23310.0,16493.0,79.0,16572.0,6738.0,29113498.0,338.0,144.0,1920.0,29113479.876553398,1930.1369505488851,6786.298595727482,16574.68790032749,23360.986496054975,0.09832740228812398,0.2,0.025972098545562483
2020-08-11,163,23948.0,16664.0,83.0,16747.0,7201.0,29112860.0,638.0,175.0,2198.0,29112824.953290403,2182.3165441966994,6970.807906078788,16749.9222593229,23720.730165401685,0.06387697030866438,0.2,0.009998611303985558
2020-08-12,164,24432.0,16728.0,91.0,16819.0,7613.0,29112376.0,484.0,72.0,2218.0,29112388.659087643,2227.1246858515765,7569.376321346477,16820.83990515931,24390.21622650579,0.0776429330957213,0.2,0.014843031656377249
2020-08-13,165,24957.0,16837.0,95.0,16932.0,8025.0,29111851.0,525.0,113.0,2365.0,29111772.269570217,2363.533825538889,7955.683150187713,16934.513454057127,24890.19660424484,0.08568086619066091,0.2,0.030404984423676014
