wave,scenario,date,model_S,model_E,model_I,model_R,model_confirmed,beta,actual_confirmed,basic_R0,effective_Re 
wave_1,75% beta reduction,2021-02-04,24620807.146442633,169.74562486636512,2059.4026449147204,2976963.7052875794,82230.79300520703,0.0134,271602.0,0.21337579617834396,0.1903436350516543
wave_1,75% beta reduction,2021-02-05,24620783.09846318,161.95609513067726,1964.900278384087,2977090.0451632976,82232.29891939161,0.0134,271707.0,0.21337579617834396,0.19034344913655424
wave_1,75% beta reduction,2021-02-06,24620760.154025342,154.52402831239044,1874.7344232479688,2977210.587523091,82233.7357280619,0.0134,271806.0,0.21337579617834396,0.19034327175294222
wave_1,75% beta reduction,2021-02-07,24620738.26248797,147.43301984964953,1788.7060895100346,2977325.5984026645,82235.10660247992,0.0134,271925.0,0.21337579617834396,0.19034310250931116
wave_1,75% beta reduction,2021-02-08,24620717.37553387,140.6674180599756,1706.6254179608763,2977435.331630103,82236.41456837347,0.0134,272055.0,0.21337579617834396,0.19034294103212057
wave_1,75% beta reduction,2021-02-09,24620697.447063155,134.21228958301788,1628.3112612318378,2977540.0293860254,82237.66251261532,0.0134,272215.0,0.21337579617834396,0.1903427869649718
wave_1,75% beta reduction,2021-02-10,24620678.433091477,128.0533864098652,1553.5907840689404,2977639.9227380413,82238.85318959587,0.0134,272349.0,0.21337579617834396,0.1903426399678216
wave_1,75% beta reduction,2021-02-11,24620660.291652944,122.17711442604242,1482.2990819453491,2977735.2321506804,82239.98922730327,0.0134,272430.0,0.21337579617834396,0.19034249971623138
wave_1,75% beta reduction,2021-02-12,24620642.982707497,116.57050339866771,1414.27881717124,2977826.1679719277,82241.07313312445,0.0134,272557.0,0.21337579617834396,0.1903423659006511
wave_1,75% beta reduction,2021-02-13,24620626.46805252,111.22117834144258,1349.3798716984875,2977912.930897432,82242.10729937993,0.0134,272614.0,0.21337579617834396,0.1903422382257361
wave_1,75% beta reduction,2021-02-14,24620610.711238526,106.11733219419551,1287.4590158543974,2977995.7124134176,82243.09400860463,0.0134,272718.0,0.21337579617834396,0.19034211640969512
wave_1,75% beta reduction,2021-02-15,24620595.67748869,101.2476997566082,1228.3795922738127,2978074.6952192723,82244.03543858619,0.0134,272840.0,0.21337579617834396,0.1903420001836683
wave_1,75% beta reduction,2021-02-16,24620581.333622098,96.60153281852848,1172.0112143324302,2978150.0536307436,82244.93366717215,0.0134,272945.0,0.21337579617834396,0.19034188929113374
wave_1,75% beta reduction,2021-02-17,24620567.647980507,92.16857643192067,1118.2294784161274,2978221.9539646367,82245.79067685646,0.0134,273070.0,0.21337579617834396,0.19034178348734132
wave_1,75% beta reduction,2021-02-18,24620554.59035847,87.93904627202895,1066.9156893916108,2978290.5549058598,82246.60835915545,0.0134,273166.0,0.21337579617834396,0.19034168253877248
wave_1,75% beta reduction,2021-02-19,24620542.131936654,83.90360703773887,1017.9565986727902,2978356.0078576272,82247.38851878306,0.0134,273263.0,0.21337579617834396,0.1903415862226249
wave_1,75% beta reduction,2021-02-20,24620530.24521825,80.05335184341948,971.2441543050682,2978418.4572755946,82248.13287763431,0.0134,273351.0,0.21337579617834396,0.19034149432632042
